time,seconds_elapsed,z,y,x
1700822875657549000,13.969549072265625,0.07047858089208603,0.06062837690114975,-0.30886873602867126
1700822875667305000,13.979304931640625,0.08575020730495453,-0.04260785132646561,-0.3161991238594055
1700822875677460000,13.9894599609375,0.10651962459087372,-0.17333301901817322,-0.2563343346118927
1700822875687397000,13.999397216796876,0.09002626687288284,-0.21670444309711456,-0.18913915753364563
1700822875697151000,14.00915087890625,0.082085020840168,-0.2356412708759308,-0.16348281502723694
1700822875707228000,14.019227783203124,0.1272890418767929,-0.27351492643356323,-0.18791742622852325
1700822875717100000,14.02910009765625,0.18409951031208038,-0.25335636734962463,-0.21479548513889313
1700822875727052000,14.039052001953126,0.2134210467338562,-0.144622340798378,-0.20013472437858582
1700822875737201000,14.049200927734375,0.25190556049346924,-0.11468994617462158,-0.1952477991580963
1700822875747114000,14.059114013671875,0.26656633615493774,-0.11102475970983505,-0.2312888503074646
1700822875757173000,14.069173095703125,0.22197316586971283,-0.11530081182718277,-0.25877779722213745
1700822875767396000,14.07939599609375,0.08819366991519928,0.01237002108246088,-0.2471713423728943
1700822875777088000,14.089087890625,-0.051083605736494064,0.14676037430763245,-0.2007455974817276
1700822875787099000,14.099098876953125,-0.10911580175161362,0.04230241850018501,-0.15676330029964447
1700822875797072000,14.10907177734375,-0.07368562370538712,-0.21181751787662506,-0.14271339774131775
1700822875807051000,14.119051025390625,0.019776761531829834,-0.3975205719470978,-0.13904820382595062
1700822875817051000,14.12905078125,0.1278999149799347,-0.44455718994140625,-0.16226108372211456
1700822875827229000,14.13922900390625,0.2036471962928772,-0.3211624026298523,-0.20807597041130066
1700822875837186000,14.14918603515625,0.22197316586971283,-0.10125091671943665,-0.22334760427474976
1700822875847051000,14.159051025390625,0.19570595026016235,0.01725694350898266,-0.2312888503074646
1700822875857165000,14.1691650390625,0.1633300930261612,0.00931569468230009,-0.23984096944332123
1700822875867171000,14.179171142578125,0.11507174372673035,-0.06398813426494598,-0.21174116432666779
1700822875877506000,14.189506103515624,0.06498079001903534,-0.15256360173225403,-0.1799761801958084
1700822875887209000,14.199208984375,0.042989641427993774,-0.23197607696056366,-0.190360888838768
1700822875897263000,14.20926318359375,0.04482223838567734,-0.2588541507720947,-0.21357376873493195
1700822875907462000,14.2194619140625,0.07475463300943375,-0.24602597951889038,-0.22945626080036163
1700822875917202000,14.229201904296875,0.11323914676904678,-0.22281309962272644,-0.2618321180343628
1700822875927268000,14.23926806640625,0.14866933226585388,-0.11224649101495743,-0.29970577359199524
1700822875937233000,14.24923291015625,0.14378240704536438,-0.07376197725534439,-0.28443413972854614
1700822875947289000,14.2592890625,0.15050192177295685,-0.06765332818031311,-0.2612212598323822
1700822875957356000,14.26935595703125,0.14622586965560913,-0.08720101416110992,-0.2160172164440155
1700822875967298000,14.279298095703124,0.11201741546392441,-0.11713340878486633,-0.17875444889068604
1700822875977227000,14.28922705078125,0.07964155822992325,-0.1635591685771942,-0.16409367322921753
1700822875987217000,14.299216796875,0.08269587904214859,-0.20387627184391022,-0.15615242719650269
1700822875997113000,14.309113037109375,0.09369145333766937,-0.19898934662342072,-0.1549306958913803
1700822876007205000,14.319205078125,0.06436992436647415,-0.12324206531047821,-0.1451568603515625
1700822876017304000,14.329303955078124,0.018555032089352608,-0.060933809727430344,-0.12133310735225677
1700822876027256000,14.339256103515625,-0.023594669997692108,-0.03588833287358284,-0.10911580175161362
1700822876037174000,14.349174072265624,-0.04069889709353447,-0.012675453908741474,-0.09934195876121521
1700822876047249000,14.359248779296875,-0.053527068346738815,-0.016340645030140877,-0.07246389240026474
1700822876057236000,14.369236083984376,-0.05169447138905525,-0.027947084978222847,-0.047418415546417236
1700822876067291000,14.379290771484374,-0.038866300135850906,-0.020616702735424042,-0.036422841250896454
1700822876077510000,14.389510009765624,-0.027259862050414085,0.006872233934700489,-0.0339793786406517
1700822876087248000,14.399247802734376,-0.011377365328371525,0.04108068719506264,-0.01748601719737053
1700822876097491000,14.409490966796875,0.019776761531829834,0.0685696229338646,0.0020616701804101467
1700822876107459000,14.419458984375,0.06131559982895851,0.09544769674539566,0.01061378326267004
1700822876118362000,14.430362060546875,0.08025242388248444,0.11927144229412079,-0.007712173741310835
1700822876127722000,14.439721923828126,0.07414376735687256,0.128434419631958,-0.0694095641374588
1700822876137455000,14.449455078125,0.05581781268119812,0.09605856239795685,-0.1653154045343399
1700822876147387000,14.459386962890624,0.02710714563727379,0.038637228310108185,-0.26916250586509705
1700822876157367000,14.469366943359375,0.017333300784230232,0.0025961773935705423,-0.3381902575492859
1700822876167345000,14.479344970703124,0.033826664090156555,0.00809396430850029,-0.39988765120506287
1700822876177612000,14.489612060546875,0.030772335827350616,0.18768835067749023,-0.3717878460884094
1700822876187343000,14.499343017578125,0.03749185428023338,0.2249511331319809,-0.3669009506702423
1700822876197305000,14.50930517578125,0.06742425262928009,0.14492778480052948,-0.4426482319831848
1700822876207364000,14.519364013671876,0.05948300287127495,0.14309518039226532,-0.47624582052230835
1700822876217554000,14.529553955078125,0.03871358558535576,0.1889100819826126,-0.5080108046531677
1700822876228353000,14.54035302734375,-0.06269004940986633,0.2561052441596985,-0.5581017732620239
1700822876237804000,14.549803955078126,-0.05597052723169327,0.2909245789051056,-0.5813146233558655
1700822876247493000,14.5594931640625,-0.08040513843297958,0.18096883594989777,-0.6265186667442322
1700822876257664000,14.5696640625,-0.0742964819073677,0.09972374886274338,-0.6570619344711304
1700822876267418000,14.579418212890625,-0.06146831437945366,0.026419922709465027,-0.7419722080230713
1700822876277608000,14.58960791015625,-0.05719225853681564,0.05268712714314461,-0.8103891015052795
1700822876287453000,14.599452880859374,-0.07002042979001999,0.17852537333965302,-0.8293259143829346
1700822876297220000,14.60922021484375,-0.09262244403362274,0.24388794600963593,-0.8140543103218079
1700822876307461000,14.619461181640625,-0.10911580175161362,0.24755313992500305,-0.7700719833374023
1700822876317287000,14.629286865234375,-0.11094839870929718,0.21578814089298248,-0.6851617097854614
1700822876328329000,14.640328857421874,-0.09140071272850037,0.1333213448524475,-0.5733733773231506
1700822876337623000,14.649623046875,-0.05902485549449921,0.04230241850018501,-0.4689154326915741
1700822876347401000,14.65940087890625,-0.018096882849931717,-0.003512475173920393,-0.37117698788642883
1700822876357545000,14.669544921875,0.016111571341753006,0.032528575509786606,-0.2972623109817505
1700822876367246000,14.67924609375,0.0417679101228714,0.1437060534954071,-0.24778221547603607
1700822876377378000,14.6893779296875,0.06803511828184128,0.23228150606155396,-0.180587038397789
1700822876387440000,14.699440185546875,0.1126282811164856,0.2396118938922882,-0.08162686973810196
1700822876397362000,14.70936181640625,0.18226692080497742,0.17608191072940826,0.018555032089352608
1700822876407430000,14.719429931640626,0.24518603086471558,0.07773260027170181,0.07841982692480087
1700822876418332000,14.730331787109375,0.264122873544693,0.017867809161543846,0.12362385541200638
1700822876428215000,14.740215087890626,0.26351198554039,0.1498146951198578,0.1987602859735489
1700822876437447000,14.749447021484375,0.3184898793697357,0.31841349601745605,0.24701863527297974
1700822876447319000,14.759319091796876,0.29710957407951355,0.2554943859577179,0.21708624064922333
1700822876457415000,14.769414794921875,0.2696206569671631,0.12721268832683563,0.20059287548065186
1700822876467393000,14.77939306640625,0.2549598813056946,0.09483683109283447,0.23724478483200073
1700822876477500000,14.7895,0.27634015679359436,0.1540907621383667,0.3099377453327179
1700822876487800000,14.799800048828125,0.27695104479789734,0.21334469318389893,0.31665727496147156
1700822876497439000,14.80943896484375,0.22747094929218292,0.168751522898674,0.32643112540245056
1700822876507791000,14.819791015625,0.16394096612930298,0.17791450023651123,0.3588069677352905
1700822876517825000,14.829824951171876,0.1474476009607315,0.230448916554451,0.3856850564479828
1700822876527516000,14.839515869140625,0.1431715488433838,0.18341228365898132,0.3789655268192291
1700822876537450000,14.849449951171875,0.13461942970752716,0.1033889427781105,0.36735907196998596
1700822876547399000,14.85939892578125,0.0771980956196785,0.08750644326210022,0.3643047511577606
