time,seconds_elapsed,z,y,x
1700822861867335000,0.1793349609375,-0.10718536376953125,-0.023757219314575195,0.0081404447555542
1700822861883168000,0.19516796875,-0.4639263153076172,0.06233477592468262,0.013766348361968994
1700822861895892500,0.207892578125,-0.9318857192993164,0.00010132789611816406,-0.17394638061523438
1700822861907351300,0.219351318359375,-1.5413298606872559,-0.4821927547454834,-0.6823427677154541
1700822861918040600,0.23004052734375,-1.5400753021240234,-0.5697425603866577,-0.6239802241325378
1700822861928319700,0.24031982421875,-1.2534408569335938,-0.5487747192382812,-0.5216666460037231
1700822861938509300,0.25050927734375,-0.9826345443725586,-0.5117535591125488,-0.3429300785064697
1700822861948561700,0.260561767578125,-0.8433656692504883,-0.502994179725647,-0.2093498706817627
1700822861958614800,0.27061474609375,-0.6381044387817383,-0.449207067489624,-0.10417473316192627
1700822861968627500,0.28062744140625,-0.31091880798339844,-0.3709639310836792,-0.10014867782592773
1700822861978635800,0.2906357421875,-0.08136463165283203,-0.3829387426376343,-0.07114267349243164
1700822861988614400,0.300614501953125,0.030225753784179688,-0.31407856941223145,0.07312047481536865
1700822861998669000,0.3106689453125,0.218292236328125,-0.07520925998687744,0.3341222405433655
1700822862008897000,0.32089697265625,0.4126882553100586,0.12402153015136719,0.5056121349334717
1700822862018757600,0.330757568359375,0.5343542098999023,0.24495887756347656,0.4900893568992615
1700822862028757200,0.34075732421875,0.44000244140625,0.2137235403060913,0.36930763721466064
1700822862038757000,0.350757080078125,0.21875476837158203,0.03835010528564453,0.16919869184494019
1700822862049050600,0.361050537109375,-0.0723724365234375,-0.09401381015777588,0.003165900707244873
1700822862059010300,0.37101025390625,-0.27164268493652344,-0.08003413677215576,-0.1387256383895874
1700822862068936700,0.380936767578125,-0.43045520782470703,-0.07467186450958252,-0.23819035291671753
1700822862078842400,0.39084228515625,-0.5972871780395508,-0.1493595838546753,-0.23238980770111084
1700822862088848100,0.40084814453125,-0.8080463409423828,-0.1951669454574585,-0.049957990646362305
1700822862099154200,0.411154296875,-0.8798971176147461,-0.34025514125823975,0.08515262603759766
1700822862109036500,0.42103662109375,4.007434844970703,0.4832066297531128,1.6910961866378784
1700822862118913800,0.430913818359375,4.175832748413086,0.566448450088501,3.146345615386963
1700822862128790300,0.440790283203125,-0.8788175582885742,-0.0634465217590332,-0.7240086793899536
1700822862138776000,0.450776123046875,0.9446964263916016,0.19754183292388916,-0.7632317543029785
1700822862149148700,0.461148681640625,-0.7591428756713867,-0.2502787113189697,-0.10673868656158447
1700822862159011300,0.47101123046875,-0.2821521759033203,-0.24759578704833984,-0.04738259315490723
1700822862168968700,0.48096875,-0.4799652099609375,-0.076263427734375,-0.030239582061767578
1700822862178984000,0.49098388671875,-0.38604736328125,0.10893440246582031,0.021234512329101562
1700822862188873500,0.50087353515625,-0.6438589096069336,0.2665671110153198,-0.046257734298706055
1700822862199133700,0.5111337890625,-1.107457160949707,0.29167890548706055,0.016725778579711914
1700822862208968400,0.520968505859375,-1.185084342956543,0.19082415103912354,-0.014957189559936523
1700822862218866700,0.53086669921875,-1.0170297622680664,0.09030389785766602,0.256572425365448
1700822862228851500,0.5408515625,0.3388347625732422,0.20423007011413574,1.1590347290039062
1700822862238809000,0.55080908203125,1.5593194961547852,-0.17618966102600098,1.125704050064087
1700822862248739600,0.560739501953125,1.3627042770385742,-0.30221807956695557,1.408897876739502
1700822862258764800,0.570764892578125,1.6865148544311523,-0.31760096549987793,0.8610681891441345
1700822862268772900,0.58077294921875,0.9832334518432617,-0.13588225841522217,0.47775813937187195
1700822862278681900,0.590681884765625,0.6054573059082031,-0.03735077381134033,0.5435043573379517
1700822862288715500,0.600715576171875,0.2584695816040039,-0.18901371955871582,0.5510599613189697
1700822862298814700,0.610814697265625,0.017601966857910156,-0.4532651901245117,0.36471378803253174
1700822862308727300,0.620727294921875,-0.40936946868896484,-0.6236027479171753,0.043251097202301025
1700822862318688800,0.630688720703125,-0.9841079711914062,-0.31193792819976807,-0.28602170944213867
1700822862328695800,0.64069580078125,-1.3940658569335938,-0.034731149673461914,-0.7719530463218689
1700822862338665000,0.6506650390625,-1.5553674697875977,0.038530588150024414,-0.6971049904823303
1700822862348686000,0.66068603515625,-0.661412239074707,-0.04178047180175781,0.0322914719581604
1700822862358643000,0.670642822265625,-0.012778282165527344,-0.06199312210083008,0.41757437586784363
1700822862368702000,0.680701904296875,-0.4109668731689453,-0.06426644325256348,0.15988284349441528
1700822862378720000,0.690719970703125,-1.2027559280395508,-0.06116211414337158,-0.17665249109268188
1700822862388739000,0.700739013671875,-1.388594627380371,0.011975765228271484,-0.13067466020584106
1700822862398880000,0.7108798828125,-0.9984264373779297,0.24089586734771729,0.12049692869186401
1700822862408817000,0.72081689453125,-0.4996652603149414,0.3954479694366455,0.2022266685962677
1700822862418776600,0.730776611328125,-0.1415548324584961,0.45654261112213135,0.27048009634017944
1700822862428749300,0.740749267578125,0.09040355682373047,0.30196714401245117,0.10928884148597717
1700822862438797000,0.750797119140625,-0.07315731048583984,0.07682359218597412,-0.06058096885681152
1700822862448733200,0.760733154296875,-0.1698312759399414,-0.3008466958999634,-0.2818602919578552
1700822862458677500,0.770677490234375,-0.14499473571777344,-0.49113619327545166,-0.23548763990402222
1700822862468663300,0.780663330078125,0.005064964294433594,-0.3204706907272339,0.012684643268585205
1700822862478655700,0.79065576171875,0.06443405151367188,-0.05017983913421631,-0.07313981652259827
1700822862488648200,0.800648193359375,-0.3177938461303711,-0.02001166343688965,-0.23774734139442444
