time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1700823729026625000,0.193625,0.08584032952785492,0.11631220579147339,-0.027364326640963554,0.9891179203987122,0.23714452981948853,0.03417118266224861,-0.17720693349838257
1700823729042622000,0.2096220703125,0.08530715107917786,0.12921540439128876,-0.03364429622888565,0.9873672723770142,0.26422762870788574,0.04440715163946152,-0.17827129364013672
1700823729055312000,0.222311767578125,0.08530715107917786,0.12921540439128876,-0.03364429622888565,0.9873672723770142,0.26422762870788574,0.04440715163946152,-0.17827129364013672
1700823729066710000,0.2337099609375,0.0820234939455986,0.1272202730178833,-0.029622595757246017,0.9880332946777344,0.2593343257904053,0.037675030529499054,-0.1705673784017563
1700823729077331000,0.2443310546875,-0.637911856174469,0.10130564868450165,0.0684945210814476,0.7603382468223572,0.24392789602279663,0.025092769414186478,1.393052339553833
1700823729087626500,0.25462646484375,-0.6299458742141724,0.09913870692253113,0.06648191809654236,0.7674111723899841,0.23822900652885437,0.022868093103170395,1.371940016746521
1700823729097795800,0.2647958984375,-0.6296707391738892,0.09686730057001114,0.06460542231798172,0.7680870294570923,0.2323087751865387,0.022745797410607338,1.370731234550476
1700823729107864800,0.27486474609375,-0.6338774561882019,0.05981573835015297,0.05831551551818848,0.7689088582992554,0.16670243442058563,-0.013847376219928265,1.380025863647461
1700823729117895000,0.28489501953125,-0.6136037707328796,0.05314261093735695,0.05365420877933502,0.7859945297241211,0.14997336268424988,-0.0191279835999012,1.3271247148513794
1700823729127868000,0.294867919921875,-0.6100539565086365,0.05274780094623566,0.05065996199846268,0.7889774441719055,0.14557550847530365,-0.01558175403624773,1.3175315856933594
1700823729137887500,0.304887451171875,-0.6114146113395691,0.05126094073057175,0.047950759530067444,0.7881911993026733,0.1399100422859192,-0.012905717827379704,1.3204222917556763
1700823729147967700,0.3149677734375,-0.6092694997787476,0.047278132289648056,0.04535611718893051,0.7902520298957825,0.13037337362766266,-0.014075747691094875,1.3145077228546143
1700823729158049800,0.3250498046875,-0.6072982549667358,0.04214615002274513,0.043389007449150085,0.7921679615974426,0.11977841705083847,-0.017553094774484634,1.3091696500778198
1700823729168429300,0.33542919921875,-0.6044185161590576,0.03788330405950546,0.04319607466459274,0.7945924401283264,0.11268829554319382,-0.022853799164295197,1.3018724918365479
1700823729178360800,0.34536083984375,-0.600079357624054,0.0383329838514328,0.04576268047094345,0.7977100014686584,0.1163845956325531,-0.027008315548300743,1.2914559841156006
1700823729188204300,0.355204345703125,-0.5986082553863525,0.04578670114278793,0.04866597801446915,0.7982502579689026,0.13177765905857086,-0.022880658507347107,1.2883847951889038
1700823729198672100,0.365672119140625,-0.6022359132766724,0.04920712113380432,0.05100138485431671,0.7951663136482239,0.140177384018898,-0.021842312067747116,1.297937273979187
1700823729208258600,0.375258544921875,-0.6050468683242798,0.047621551901102066,0.05110980570316315,0.7931192517280579,0.13786084949970245,-0.023447953164577484,1.3049930334091187
1700823729218547700,0.385547607421875,-0.6037090420722961,0.04252016544342041,0.05125918611884117,0.7944180369377136,0.12987230718135834,-0.03010737895965576,1.3016213178634644
1700823729228345300,0.395345458984375,-0.6030376553535461,0.034317709505558014,0.05168592557311058,0.7952965497970581,0.11728890240192413,-0.04083288460969925,1.2999247312545776
1700823729238201000,0.405201171875,-0.5963202118873596,0.027726300060749054,0.05413708835840225,0.800439178943634,0.10932701826095581,-0.05362508073449135,1.2835108041763306
1700823729248116500,0.415116455078125,-0.5913106799125671,0.025274083018302917,0.05710817128419876,0.8040221333503723,0.1086006760597229,-0.061982475221157074,1.2716059684753418
1700823729258064000,0.42506396484375,-0.5875560641288757,0.027777470648288727,0.058991439640522,0.8065521121025085,0.1146039068698883,-0.06255849450826645,1.2627590894699097
1700823729268321300,0.4353212890625,-0.5896252989768982,0.03195326030254364,0.05965609848499298,0.8048366904258728,0.12229625135660172,-0.05837908387184143,1.2681218385696411
1700823729278165800,0.445165771484375,-0.5927168726921082,0.035059258341789246,0.0594109371304512,0.8024511933326721,0.1272209882736206,-0.053814295679330826,1.275801420211792
1700823729288075300,0.4550751953125,-0.5973056554794312,0.03701550140976906,0.0595521442592144,0.7989427447319031,0.13083046674728394,-0.050960421562194824,1.2872916460037231
1700823729298056700,0.465056640625,-0.598674476146698,0.03651291877031326,0.06222589313983917,0.7977367043495178,0.13336187601089478,-0.05558967962861061,1.291312336921692
1700823729308153900,0.47515380859375,-0.5981807708740234,0.036270059645175934,0.06291203200817108,0.798064112663269,0.1337728351354599,-0.057054515928030014,1.2902358770370483
1700823729318197500,0.485197509765625,-0.5974718928337097,0.03487240895628929,0.06581693887710571,0.7984230518341064,0.13501426577568054,-0.06347156316041946,1.289136290550232
1700823729328050200,0.49505029296875,-0.5967438817024231,0.034334007650613785,0.06517322361469269,0.7990434765815735,0.1333121955394745,-0.06321735680103302,1.2871507406234741
1700823729337963000,0.504962890625,-0.5970650315284729,0.03397492319345474,0.06422741711139679,0.7988954186439514,0.13161325454711914,-0.062091391533613205,1.287716031074524
1700823729348058000,0.51505810546875,-0.5994658470153809,0.03370307758450508,0.06341072171926498,0.7971724271774292,0.13036805391311646,-0.06072819232940674,1.2935125827789307
1700823729357975600,0.5249755859375,-0.5997668504714966,0.03351221978664398,0.06267863512039185,0.7970119714736938,0.12919339537620544,-0.05974774807691574,1.2940890789031982
1700823729368259800,0.535259765625,-0.6004518866539001,0.032941531389951706,0.062021370977163315,0.7965713143348694,0.12753109633922577,-0.05928400158882141,1.2956383228302002
